0;69;-3;67;;
0;69;-46;67;;
0;;;;95;
0;69;-3;67;;
0;0;10;0;;
0;-54;-3;-86;;
0;-54;-46;-87;;
0;;;;10;
0;-54;-3;-86;;
0;0;10;0;;
0;31;-3;108;;
0;31;-67;108;;
0;;;;60;
0;31;-3;108;;
0;0;10;0;;
0;-54;-3;-86;;
0;-54;-71;-87;;
0;;;;10;
0;-54;-3;-86;;
0;0;10;0;;
0;31;-3;108;;
0;31;-46;108;;
0;;;;95;
0;31;-3;108;;
0;0;10;0;;
0;-53;-3;-46;;
0;-53;-46;-46;;
0;;;;10;
0;-53;-3;-46;;
0;0;10;0;;
0;69;-3;67;;
0;69;-67;67;;
0;;;;60;
0;69;-3;67;;
0;0;10;0;;
0;-53;-3;-46;;
0;-53;-71;-46;;
0;;;;10;
0;-53;-3;-46;;
0;0;10;0;;
0;29;-3;68;;
0;29;-46;68;;
0;;;;95;
0;29;-3;68;;
0;0;10;0;;
0;25;-3;-127;;
0;25;-46;-127;;
0;;;;10;
0;25;-3;-127;;
0;0;10;0;;
0;71;-3;107;;
0;71;-67;107;;
0;;;;60;
0;71;-3;107;;
0;0;10;0;;
0;25;-3;-127;;
0;25;-71;-127;;
0;;;;10;
0;25;-3;-127;;
0;0;10;0;;
0;71;-3;107;;
0;71;-46;107;;
0;;;;95;
0;71;-3;107;;
0;0;10;0;;
0;66;-3;-48;;
0;66;-46;-48;;
0;;;;10;
0;66;-3;-48;;
0;0;10;0;;
0;29;-3;68;;
0;29;-67;68;;
0;;;;60;
0;29;-3;68;;
0;0;10;0;;
0;66;-3;-48;;
0;66;-71;-48;;
0;;;;10;
0;66;-3;-48;;
0;0;10;0;;
0;-10;-3;108;;
0;-10;-46;108;;
0;;;;95;
0;-10;-3;108;;
0;0;10;0;;
0;-14;-3;-86;;
0;-14;-46;-87;;
0;;;;10;
0;-14;-3;-86;;
0;0;10;0;;
0;-51;-3;71;;
0;-51;-67;71;;
0;;;;60;
0;-51;-3;71;;
0;0;10;0;;
0;-14;-3;-86;;
0;-14;-71;-87;;
0;;;;10;
0;-14;-3;-86;;
0;0;10;0;;
0;-12;-3;68;;
0;-12;-46;68;;
0;;;;95;
0;-12;-3;68;;
0;0;10;0;;
0;-13;-3;-46;;
0;-13;-46;-46;;
0;;;;10;
0;-13;-3;-46;;
0;0;10;0;;
0;-53;-3;112;;
0;-53;-67;112;;
0;;;;60;
0;-53;-3;112;;
0;0;10;0;;
0;-13;-3;-46;;
0;-13;-71;-46;;
0;;;;10;
0;-13;-3;-46;;
0;0;10;0;;
0;-49;-3;69;;
0;-49;-46;69;;
0;;;;95;
0;-49;-3;69;;
0;0;10;0;;
0;27;-3;-7;;
0;27;-46;-7;;
0;;;;10;
0;27;-3;-7;;
0;0;10;0;;
0;-12;-3;68;;
0;-12;-67;68;;
0;;;;60;
0;-12;-3;68;;
0;0;10;0;;
0;27;-3;-7;;
0;27;-71;-7;;
0;;;;10;
0;27;-3;-7;;
0;0;10;0;;
0;-49;-3;108;;
0;-49;-46;108;;
0;;;;95;
0;-49;-3;108;;
0;0;10;0;;
0;26;-3;-47;;
0;26;-46;-47;;
0;;;;10;
0;26;-3;-47;;
0;0;10;0;;
0;-10;-3;108;;
0;-10;-67;108;;
0;;;;60;
0;-10;-3;108;;
0;0;10;0;;
0;26;-3;-47;;
0;26;-71;-47;;
0;;;;10;
0;26;-3;-47;;
0;0;10;0;;
